3,2,2,1,3,2,4,3,2,1,4,2,1,2,1,3,3,1,3,3,2,2,1,3,2,3,1,3,2,1,3,3,5,2,5,3,5,5,2,2,1,1,3,3,3,2,2,5,5,2,3,1,3,2,2,1,3,5,2,5,3
4,1,3,1,2,2,2,3,2,2,3,3,3,1,3,3,2,3,3,1,3,3,1,2,2,5,3,2,1,3,3,3,5,3,1,3,2,2,2,2,1,2,2,3,2,2,2,2,5,2,2,3,5,3,2,2,2,2,2,3,2
9,3,1,3,3,4,3,1,1,3,3,1,2,3,4,2,2,4,4,2,2,2,2,1,3,3,1,3,2,2,3,3,5,3,1,3,1,1,3,2,3,2,1,3,5,2,3,3,3,3,3,2,1,2,3,3,3,3,1,5,3
10,3,3,3,2,4,3,2,3,4,4,3,2,4,3,3,4,2,1,2,1,5,5,2,2,5,3,3,2,1,3,3,5,1,5,3,3,3,3,2,3,3,3,3,2,5,5,3,2,5,2,3,3,5,5,5,5,2,2,2,2
8,3,2,4,2,1,3,2,2,2,2,2,1,3,3,4,2,1,2,2,2,1,3,3,1,1,2,5,3,1,2,3,5,3,1,3,5,3,5,2,2,2,2,1,5,2,2,2,3,3,2,2,2,5,5,3,1,2,2,2,5
15,2,1,3,1,2,4,3,3,3,4,3,3,1,2,1,1,2,1,1,1,1,2,2,5,5,2,1,3,2,3,3,5,1,1,3,1,3,1,3,3,3,2,2,1,1,3,2,5,2,1,3,1,3,1,2,2,1,2,1,3
16,2,2,4,4,4,3,1,3,3,1,2,1,3,2,1,2,2,1,1,3,1,1,3,5,3,5,3,2,1,3,3,5,1,2,3,5,5,2,2,2,1,2,2,5,3,2,2,2,5,3,3,5,3,3,2,2,3,2,2,1
14,2,2,2,4,2,3,4,3,2,3,3,4,2,2,1,2,3,1,2,2,1,1,3,1,2,2,1,3,2,3,3,5,3,1,3,2,2,1,2,3,3,3,2,1,3,3,2,2,3,3,3,3,5,2,3,5,3,3,3,3
19,4,3,3,2,3,1,2,4,1,2,3,3,2,3,2,3,3,1,3,3,2,2,2,5,3,3,1,3,1,3,3,5,3,1,3,3,1,2,2,2,5,2,2,5,3,5,2,2,2,5,3,2,5,2,2,1,3,5,2,2
20,1,1,3,2,4,3,1,2,1,3,4,3,3,1,2,2,2,3,3,5,2,1,1,2,5,5,2,1,1,3,3,5,3,1,3,2,2,1,3,3,1,3,5,2,3,3,3,5,3,3,3,1,3,3,3,5,3,1,3,1
23,4,3,3,2,3,1,2,4,1,2,3,3,2,3,2,3,3,1,3,3,2,2,2,5,3,3,1,3,1,3,3,5,3,1,3,3,1,2,2,2,5,3,3,5,1,5,2,2,2,5,3,2,5,3,2,2,1,3,5,2
24,1,1,3,2,4,3,1,3,1,3,4,3,3,1,2,2,2,4,3,5,2,1,1,2,5,5,2,1,1,3,3,5,3,1,3,2,2,1,2,2,1,3,5,2,3,3,3,5,3,3,3,3,1,3,3,3,5,3,1,3
29,3,3,1,1,3,1,4,3,2,4,3,3,1,3,3,1,3,1,1,1,2,2,2,5,3,3,3,1,1,3,3,5,1,3,3,2,5,2,5,3,3,5,3,1,2,2,1,3,3,1,2,1,1,3,3,3,1,3,3,3
30,1,1,3,2,4,3,2,1,4,3,4,3,3,1,4,2,2,4,3,1,3,1,1,2,5,5,2,1,3,3,3,5,3,1,3,5,1,2,1,3,3,1,3,1,5,3,5,5,5,2,1,3,2,2,2,5,3,5,5,3
31,3,3,1,1,3,1,4,3,4,4,3,3,1,3,3,1,3,1,1,1,2,2,2,5,3,3,3,1,1,3,3,5,1,3,3,2,5,2,5,3,3,5,3,1,2,2,1,3,3,1,2,1,1,3,3,3,1,3,3,3
32,1,1,3,2,4,3,2,1,4,3,4,3,3,1,4,2,2,4,3,1,3,1,1,2,5,5,2,1,3,3,3,5,3,1,3,5,1,2,1,3,3,1,3,1,5,3,5,5,5,2,1,3,2,2,2,5,3,5,5,3
