2,1,5.301e+005,38.5,66,28,3,3,NaN,2,5,4,4,NaN,NaN,NaN,3,5,45,8.4,NaN,NaN,2
1,1,5.3482e+005,39.2,88,20,NaN,NaN,4,1,3,4,2,NaN,NaN,NaN,4,2,50,85,2,2,3
2,1,5.3033e+005,38.3,40,24,1,1,3,1,3,3,1,NaN,NaN,NaN,1,1,33,6.7,NaN,NaN,1
1,9,5.2904e+006,39.1,164,84,4,1,6,2,2,4,4,1,2,5,3,NaN,48,7.2,3,5.3,2
2,1,5.3026e+005,37.3,104,35,NaN,NaN,6,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,7.4,NaN,NaN,2
2,1,5.2836e+005,NaN,NaN,NaN,2,1,3,1,2,3,2,2,1,NaN,3,3,NaN,NaN,NaN,NaN,1
1,1,5.268e+005,37.9,48,16,1,1,1,1,3,3,3,1,1,NaN,3,5,37,7,NaN,NaN,1
1,1,5.2961e+005,NaN,60,NaN,3,NaN,NaN,1,NaN,4,2,2,1,NaN,3,4,44,8.3,NaN,NaN,2
2,1,5.3005e+005,NaN,80,36,3,4,3,1,4,4,4,2,1,NaN,3,5,38,6.2,NaN,NaN,3
2,9,5.2996e+006,38.3,90,NaN,1,NaN,1,1,5,3,1,2,1,NaN,3,NaN,40,6.2,1,2.2,1
1,1,5.2855e+005,38.1,66,12,3,3,5,1,3,3,1,2,1,3,2,5,44,6,2,3.6,1
2,1,5.2793e+005,39.1,72,52,2,NaN,2,1,2,1,2,1,1,NaN,4,4,50,7.8,NaN,NaN,1
1,1,5.2803e+005,37.2,42,12,2,1,1,1,3,3,3,3,1,NaN,4,5,NaN,7,NaN,NaN,1
2,9,5.2913e+006,38,92,28,1,1,2,1,1,3,2,3,NaN,7.2,1,1,37,6.1,1,NaN,2
1,1,5.3492e+005,38.2,76,28,3,1,1,1,3,4,1,2,2,NaN,4,4,46,81,1,2,1
1,1,5.3023e+005,37.6,96,48,3,1,4,1,5,3,3,2,3,4.5,4,NaN,45,6.8,NaN,NaN,2
1,9,5.3012e+006,NaN,128,36,3,3,4,2,4,4,3,3,NaN,NaN,4,5,53,7.8,3,4.7,2
2,1,5.2664e+005,37.5,48,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1,1,5.2905e+006,37.6,64,21,1,1,2,1,2,3,1,1,1,NaN,2,5,40,7,1,NaN,1
2,1,5.3211e+005,39.4,110,35,4,3,6,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,55,8.7,NaN,NaN,1
1,1,5.3016e+005,39.9,72,60,1,1,5,2,5,4,4,3,1,NaN,4,4,46,6.1,2,NaN,1
2,1,5.2934e+005,38.4,48,16,1,NaN,1,1,1,3,1,2,3,5.5,4,3,49,6.8,NaN,NaN,1
1,1,5.2168e+005,38.6,42,34,2,1,4,NaN,2,3,1,NaN,NaN,NaN,1,NaN,48,7.2,NaN,NaN,1
1,9,5.35e+005,38.3,130,60,NaN,3,NaN,1,2,4,NaN,NaN,NaN,NaN,NaN,NaN,50,70,NaN,NaN,1
1,1,5.3369e+005,38.1,60,12,3,3,3,1,NaN,4,3,3,2,2,NaN,NaN,51,65,NaN,NaN,1
2,1,5.2952e+005,37.8,60,42,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1,1,5.3053e+005,38.3,72,30,4,3,3,2,3,3,3,2,1,NaN,3,5,43,7,2,3.9,1
1,1,5.2865e+005,37.8,48,12,3,1,1,1,NaN,3,2,1,1,NaN,1,3,37,5.5,2,1.3,1
1,1,5.2794e+006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2,1,5.3542e+005,37.7,48,NaN,2,1,1,1,1,1,1,1,1,NaN,NaN,NaN,45,76,NaN,NaN,1
2,1,5.2948e+005,37.7,96,30,3,3,4,2,5,4,4,3,2,4,4,5,66,7.5,NaN,NaN,2
2,1,5.3024e+005,37.2,108,12,3,3,4,2,2,4,2,NaN,3,6,3,3,52,8.2,3,7.4,3
1,1,5.2943e+005,37.2,60,NaN,2,1,1,1,3,3,3,2,1,NaN,4,5,43,6.6,NaN,NaN,1
1,1,5.2966e+005,38.2,64,28,1,1,1,1,3,1,NaN,NaN,NaN,NaN,4,4,49,8.6,2,6.6,1
