1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
4,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
6,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
7,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
8,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
9,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
10,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
11,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
12,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
13,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
16,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
17,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
18,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
19,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
20,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
21,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
22,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
23,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
24,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
25,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
26,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0
26,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0
27,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
28,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
29,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
30,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
31,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
32,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
33,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
34,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
35,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
36,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
37,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
38,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
39,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
40,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
41,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
42,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
43,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
44,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
